82041 silly lifecycle source-map@0.4.4~preinstall: no script for preinstall, continuing
85555 verbose linkBins indent-string@2.1.0
85556 verbose linkMans indent-string@2.1.0
85557 silly build require-directory@2.1.1
85558 info linkStuff require-directory@2.1.1
85559 silly linkStuff require-directory@2.1.1 has F:\website\leapfrog\node_modules as its parent node_modules
85560 verbose linkBins require-directory@2.1.1
85561 verbose linkMans require-directory@2.1.1
85562 silly build require-from-string@1.2.1
85563 info linkStuff require-from-string@1.2.1
85564 silly linkStuff require-from-string@1.2.1 has F:\website\leapfrog\node_modules as its parent node_modules
85565 verbose linkBins require-from-string@1.2.1
85566 verbose linkMans require-from-string@1.2.1
85567 silly build require-main-filename@1.0.1
85568 info linkStuff require-main-filename@1.0.1
85569 silly linkStuff require-main-filename@1.0.1 has F:\website\leapfrog\node_modules as its parent node_modules
85570 verbose linkBins require-main-filename@1.0.1
85571 verbose linkMans require-main-filename@1.0.1
85572 silly build requires-port@1.0.0
85573 info linkStuff requires-port@1.0.0
85574 silly linkStuff requires-port@1.0.0 has F:\website\leapfrog\node_modules as its parent node_modules
85575 verbose linkBins requires-port@1.0.0
85576 verbose linkMans requires-port@1.0.0
85577 silly build http-proxy@1.16.2
85578 info linkStuff http-proxy@1.16.2
85579 silly linkStuff http-proxy@1.16.2 has F:\website\leapfrog\node_modules as its parent node_modules
85580 verbose linkBins http-proxy@1.16.2
85581 verbose linkMans http-proxy@1.16.2
85582 silly build http-proxy-middleware@0.17.4
85583 info linkStuff http-proxy-middleware@0.17.4
85584 silly linkStuff http-proxy-middleware@0.17.4 has F:\website\leapfrog\node_modules as its parent node_modules
85585 verbose linkBins http-proxy-middleware@0.17.4
85586 verbose linkMans http-proxy-middleware@0.17.4
85587 silly build url-parse@1.0.5
85588 info linkStuff url-parse@1.0.5
85589 silly linkStuff url-parse@1.0.5 has F:\website\leapfrog\node_modules\original\node_modules as its parent node_modules
85590 verbose linkBins url-parse@1.0.5
85591 verbose linkMans url-parse@1.0.5
85592 silly build original@1.0.0
85593 info linkStuff original@1.0.0
85594 silly linkStuff original@1.0.0 has F:\website\leapfrog\node_modules as its parent node_modules
85595 verbose linkBins original@1.0.0
85596 verbose linkMans original@1.0.0
85597 silly build eventsource@0.1.6
85598 info linkStuff eventsource@0.1.6
85599 silly linkStuff eventsource@0.1.6 has F:\website\leapfrog\node_modules as its parent node_modules
85600 verbose linkBins eventsource@0.1.6
85601 verbose linkMans eventsource@0.1.6
85602 silly build resolve-from@3.0.0
85603 info linkStuff resolve-from@3.0.0
85604 silly linkStuff resolve-from@3.0.0 has F:\website\leapfrog\node_modules as its parent node_modules
85605 verbose linkBins resolve-from@3.0.0
85606 verbose linkMans resolve-from@3.0.0
85607 silly build resolve-cwd@2.0.0
85608 info linkStuff resolve-cwd@2.0.0
85609 silly linkStuff resolve-cwd@2.0.0 has F:\website\leapfrog\node_modules as its parent node_modules
85610 verbose linkBins resolve-cwd@2.0.0
85611 verbose linkMans resolve-cwd@2.0.0
85612 silly build import-local@0.1.1
85613 info linkStuff import-local@0.1.1
85614 silly linkStuff import-local@0.1.1 has F:\website\leapfrog\node_modules as its parent node_modules
85615 verbose linkBins import-local@0.1.1
85616 verbose link bins [ { 'import-local-fixture': 'fixtures/cli.js' },
85616 verbose link bins   'F:\\website\\leapfrog\\node_modules\\.bin',
85616 verbose link bins   false ]
85617 verbose linkMans import-local@0.1.1
85618 silly build resolve-url@0.2.1
85619 info linkStuff resolve-url@0.2.1
85620 silly linkStuff resolve-url@0.2.1 has F:\website\leapfrog\node_modules as its parent node_modules
85621 verbose linkBins resolve-url@0.2.1
85622 verbose linkMans resolve-url@0.2.1
85623 silly build camelcase@1.2.1
85624 info linkStuff camelcase@1.2.1
85625 silly linkStuff camelcase@1.2.1 has F:\website\leapfrog\node_modules\resolve-url-loader\node_modules as its parent node_modules
85626 verbose linkBins camelcase@1.2.1
85627 verbose linkMans camelcase@1.2.1
85628 silly build source-map@0.1.43
85629 info linkStuff source-map@0.1.43
85630 silly linkStuff source-map@0.1.43 has F:\website\leapfrog\node_modules\resolve-url-loader\node_modules as its parent node_modules
85631 verbose linkBins source-map@0.1.43
85632 verbose linkMans source-map@0.1.43
85633 silly build rework-visit@1.0.0
85634 info linkStuff rework-visit@1.0.0
85635 silly linkStuff rework-visit@1.0.0 has F:\website\leapfrog\node_modules as its parent node_modules
85636 verbose linkBins rework-visit@1.0.0
85637 verbose linkMans rework-visit@1.0.0
85638 silly build convert-source-map@0.3.5
85639 info linkStuff convert-source-map@0.3.5
85640 silly linkStuff convert-source-map@0.3.5 has F:\website\leapfrog\node_modules\rework\node_modules as its parent node_modules
85641 verbose linkBins convert-source-map@0.3.5
85642 verbose linkMans convert-source-map@0.3.5
85643 silly build right-align@0.1.3
85644 info linkStuff right-align@0.1.3
85645 silly linkStuff right-align@0.1.3 has F:\website\leapfrog\node_modules as its parent node_modules
85646 verbose linkBins right-align@0.1.3
85647 verbose linkMans right-align@0.1.3
85648 silly build ripemd160@2.0.1
85649 info linkStuff ripemd160@2.0.1
85650 silly linkStuff ripemd160@2.0.1 has F:\website\leapfrog\node_modules as its parent node_modules
85651 verbose linkBins ripemd160@2.0.1
85652 verbose linkMans ripemd160@2.0.1
85653 silly build safe-buffer@5.1.1
85654 info linkStuff safe-buffer@5.1.1
85655 silly linkStuff safe-buffer@5.1.1 has F:\website\leapfrog\node_modules as its parent node_modules
85656 verbose linkBins safe-buffer@5.1.1
85657 verbose linkMans safe-buffer@5.1.1
85658 silly build cipher-base@1.0.4
85659 info linkStuff cipher-base@1.0.4
85660 silly linkStuff cipher-base@1.0.4 has F:\website\leapfrog\node_modules as its parent node_modules
85661 verbose linkBins cipher-base@1.0.4
85662 verbose linkMans cipher-base@1.0.4
85663 silly build browserify-des@1.0.0
85664 info linkStuff browserify-des@1.0.0
85665 silly linkStuff browserify-des@1.0.0 has F:\website\leapfrog\node_modules as its parent node_modules
85666 verbose linkBins browserify-des@1.0.0
85667 verbose linkMans browserify-des@1.0.0
85668 silly build dns-packet@1.2.2
85669 info linkStuff dns-packet@1.2.2
85670 silly linkStuff dns-packet@1.2.2 has F:\website\leapfrog\node_modules as its parent node_modules
85671 verbose linkBins dns-packet@1.2.2
85672 verbose linkMans dns-packet@1.2.2
85673 silly build hash-base@3.0.4
85674 info linkStuff hash-base@3.0.4
85675 silly linkStuff hash-base@3.0.4 has F:\website\leapfrog\node_modules\md5.js\node_modules as its parent node_modules
85676 verbose linkBins hash-base@3.0.4
85677 verbose linkMans hash-base@3.0.4
85678 silly build md5.js@1.3.4
85679 info linkStuff md5.js@1.3.4
85680 silly linkStuff md5.js@1.3.4 has F:\website\leapfrog\node_modules as its parent node_modules
85681 verbose linkBins md5.js@1.3.4
85682 verbose linkMans md5.js@1.3.4
85683 silly build evp_bytestokey@1.0.3
85684 info linkStuff evp_bytestokey@1.0.3
85685 silly linkStuff evp_bytestokey@1.0.3 has F:\website\leapfrog\node_modules as its parent node_modules
85686 verbose linkBins evp_bytestokey@1.0.3
85687 verbose linkMans evp_bytestokey@1.0.3
85688 silly build randombytes@2.0.5
85689 info linkStuff randombytes@2.0.5
85690 silly linkStuff randombytes@2.0.5 has F:\website\leapfrog\node_modules as its parent node_modules
85691 verbose linkBins randombytes@2.0.5
85692 verbose linkMans randombytes@2.0.5
85693 silly build browserify-rsa@4.0.1
85694 info linkStuff browserify-rsa@4.0.1
85695 silly linkStuff browserify-rsa@4.0.1 has F:\website\leapfrog\node_modules as its parent node_modules
85696 verbose linkBins browserify-rsa@4.0.1
85697 verbose linkMans browserify-rsa@4.0.1
85698 silly build diffie-hellman@5.0.2
85699 info linkStuff diffie-hellman@5.0.2
85700 silly linkStuff diffie-hellman@5.0.2 has F:\website\leapfrog\node_modules as its parent node_modules
85701 verbose linkBins diffie-hellman@5.0.2
85702 verbose linkMans diffie-hellman@5.0.2
85703 silly build randomfill@1.0.3
85704 info linkStuff randomfill@1.0.3
85705 silly linkStuff randomfill@1.0.3 has F:\website\leapfrog\node_modules as its parent node_modules
85706 verbose linkBins randomfill@1.0.3
85707 verbose linkMans randomfill@1.0.3
85708 silly build sass-loader@4.1.1
85709 info linkStuff sass-loader@4.1.1
85710 silly linkStuff sass-loader@4.1.1 has F:\website\leapfrog\node_modules as its parent node_modules
85711 verbose linkBins sass-loader@4.1.1
85712 verbose linkMans sass-loader@4.1.1
85713 silly build sax@1.2.4
85714 info linkStuff sax@1.2.4
85715 silly linkStuff sax@1.2.4 has F:\website\leapfrog\node_modules as its parent node_modules
85716 verbose linkBins sax@1.2.4
85717 verbose linkMans sax@1.2.4
85718 silly build schema-utils@0.3.0
85719 info linkStuff schema-utils@0.3.0
85720 silly linkStuff schema-utils@0.3.0 has F:\website\leapfrog\node_modules as its parent node_modules
85721 verbose linkBins schema-utils@0.3.0
85722 verbose linkMans schema-utils@0.3.0
85723 silly build source-map@0.4.4
85724 info linkStuff source-map@0.4.4
85725 silly linkStuff source-map@0.4.4 has F:\website\leapfrog\node_modules\scss-tokenizer\node_modules as its parent node_modules
85726 verbose linkBins source-map@0.4.4
85727 verbose linkMans source-map@0.4.4
85728 silly build scss-tokenizer@0.2.3
85729 info linkStuff scss-tokenizer@0.2.3
85730 silly linkStuff scss-tokenizer@0.2.3 has F:\website\leapfrog\node_modules as its parent node_modules
85731 verbose linkBins scss-tokenizer@0.2.3
85732 verbose linkMans scss-tokenizer@0.2.3
85733 silly build select-hose@2.0.0
85734 info linkStuff select-hose@2.0.0
85735 silly linkStuff select-hose@2.0.0 has F:\website\leapfrog\node_modules as its parent node_modules
85736 verbose linkBins select-hose@2.0.0
85737 verbose linkMans select-hose@2.0.0
85738 silly build selfsigned@1.10.1
85739 info linkStuff selfsigned@1.10.1
85740 silly linkStuff selfsigned@1.10.1 has F:\website\leapfrog\node_modules as its parent node_modules
85741 verbose linkBins selfsigned@1.10.1
85742 verbose linkMans selfsigned@1.10.1
85743 silly build semver@5.4.1
85744 info linkStuff semver@5.4.1
85745 silly linkStuff semver@5.4.1 has F:\website\leapfrog\node_modules as its parent node_modules
85746 verbose linkBins semver@5.4.1
85747 verbose link bins [ { semver: './bin/semver' },
85747 verbose link bins   'F:\\website\\leapfrog\\node_modules\\.bin',
85747 verbose link bins   false ]
85748 verbose linkMans semver@5.4.1
85749 silly build mime@1.4.1
85750 info linkStuff mime@1.4.1
85751 silly linkStuff mime@1.4.1 has F:\website\leapfrog\node_modules\send\node_modules as its parent node_modules
85752 verbose linkBins mime@1.4.1
85753 verbose link bins [ { mime: 'cli.js' },
85753 verbose link bins   'F:\\website\\leapfrog\\node_modules\\send\\node_modules\\.bin',
85753 verbose link bins   false ]
85754 verbose linkMans mime@1.4.1
85755 silly build set-blocking@2.0.0
85756 info linkStuff set-blocking@2.0.0
85757 silly linkStuff set-blocking@2.0.0 has F:\website\leapfrog\node_modules as its parent node_modules
85758 verbose linkBins set-blocking@2.0.0
85759 verbose linkMans set-blocking@2.0.0
85760 silly build set-immediate-shim@1.0.1
85761 info linkStuff set-immediate-shim@1.0.1
85762 silly linkStuff set-immediate-shim@1.0.1 has F:\website\leapfrog\node_modules as its parent node_modules
85763 verbose linkBins set-immediate-shim@1.0.1
85764 verbose linkMans set-immediate-shim@1.0.1
85765 silly build setimmediate@1.0.5
85766 info linkStuff setimmediate@1.0.5
85767 silly linkStuff setimmediate@1.0.5 has F:\website\leapfrog\node_modules as its parent node_modules
85768 verbose linkBins setimmediate@1.0.5
85769 verbose linkMans setimmediate@1.0.5
85770 silly build setprototypeof@1.1.0
85771 info linkStuff setprototypeof@1.1.0
85772 silly linkStuff setprototypeof@1.1.0 has F:\website\leapfrog\node_modules as its parent node_modules
85773 verbose linkBins setprototypeof@1.1.0
85774 verbose linkMans setprototypeof@1.1.0
85775 silly build sha.js@2.4.9
85776 info linkStuff sha.js@2.4.9
85777 silly linkStuff sha.js@2.4.9 has F:\website\leapfrog\node_modules as its parent node_modules
85778 verbose linkBins sha.js@2.4.9
85779 verbose link bins [ { 'sha.js': './bin.js' },
85779 verbose link bins   'F:\\website\\leapfrog\\node_modules\\.bin',
85779 verbose link bins   false ]
85780 verbose linkMans sha.js@2.4.9
85781 silly build create-hash@1.1.3
85782 info linkStuff create-hash@1.1.3
85783 silly linkStuff create-hash@1.1.3 has F:\website\leapfrog\node_modules as its parent node_modules
85784 verbose linkBins create-hash@1.1.3
85785 verbose linkMans create-hash@1.1.3
85786 silly build browserify-aes@1.1.1
85787 info linkStuff browserify-aes@1.1.1
85788 silly linkStuff browserify-aes@1.1.1 has F:\website\leapfrog\node_modules as its parent node_modules
85789 verbose linkBins browserify-aes@1.1.1
85790 verbose linkMans browserify-aes@1.1.1
85791 silly build browserify-cipher@1.0.0
85792 info linkStuff browserify-cipher@1.0.0
85793 silly linkStuff browserify-cipher@1.0.0 has F:\website\leapfrog\node_modules as its parent node_modules
85794 verbose linkBins browserify-cipher@1.0.0
85795 verbose linkMans browserify-cipher@1.0.0
85796 silly build create-hmac@1.1.6
85797 info linkStuff create-hmac@1.1.6
85798 silly linkStuff create-hmac@1.1.6 has F:\website\leapfrog\node_modules as its parent node_modules
85799 verbose linkBins create-hmac@1.1.6
85800 verbose linkMans create-hmac@1.1.6
85801 silly build pbkdf2@3.0.14
85802 info linkStuff pbkdf2@3.0.14
85803 silly linkStuff pbkdf2@3.0.14 has F:\website\leapfrog\node_modules as its parent node_modules
85804 verbose linkBins pbkdf2@3.0.14
85805 verbose linkMans pbkdf2@3.0.14
85806 silly build parse-asn1@5.1.0
85807 info linkStuff parse-asn1@5.1.0
85808 silly linkStuff parse-asn1@5.1.0 has F:\website\leapfrog\node_modules as its parent node_modules
85809 verbose linkBins parse-asn1@5.1.0
85810 verbose linkMans parse-asn1@5.1.0
85811 silly build browserify-sign@4.0.4
85812 info linkStuff browserify-sign@4.0.4
85813 silly linkStuff browserify-sign@4.0.4 has F:\website\leapfrog\node_modules as its parent node_modules
85814 verbose linkBins browserify-sign@4.0.4
85815 verbose linkMans browserify-sign@4.0.4
85816 silly build public-encrypt@4.0.0
85817 info linkStuff public-encrypt@4.0.0
85818 silly linkStuff public-encrypt@4.0.0 has F:\website\leapfrog\node_modules as its parent node_modules
85819 verbose linkBins public-encrypt@4.0.0
85820 verbose linkMans public-encrypt@4.0.0
85821 silly build crypto-browserify@3.12.0
85822 info linkStuff crypto-browserify@3.12.0
85823 silly linkStuff crypto-browserify@3.12.0 has F:\website\leapfrog\node_modules as its parent node_modules
85824 verbose linkBins crypto-browserify@3.12.0
85825 verbose linkMans crypto-browserify@3.12.0
85826 silly build shebang-regex@1.0.0
85827 info linkStuff shebang-regex@1.0.0
85828 silly linkStuff shebang-regex@1.0.0 has F:\website\leapfrog\node_modules as its parent node_modules
85829 verbose linkBins shebang-regex@1.0.0
85830 verbose linkMans shebang-regex@1.0.0
85831 silly build shebang-command@1.2.0
85832 info linkStuff shebang-command@1.2.0
85833 silly linkStuff shebang-command@1.2.0 has F:\website\leapfrog\node_modules as its parent node_modules
85834 verbose linkBins shebang-command@1.2.0
85835 verbose linkMans shebang-command@1.2.0
85836 silly build shellwords@0.1.1
85837 info linkStuff shellwords@0.1.1
85838 silly linkStuff shellwords@0.1.1 has F:\website\leapfrog\node_modules as its parent node_modules
85839 verbose linkBins shellwords@0.1.1
85840 verbose linkMans shellwords@0.1.1
85841 silly build sigmund@1.0.1
85842 info linkStuff sigmund@1.0.1
85843 silly linkStuff sigmund@1.0.1 has F:\website\leapfrog\node_modules as its parent node_modules
85844 verbose linkBins sigmund@1.0.1
85845 verbose linkMans sigmund@1.0.1
85846 silly build editorconfig@0.13.3
85847 info linkStuff editorconfig@0.13.3
85848 silly linkStuff editorconfig@0.13.3 has F:\website\leapfrog\node_modules as its parent node_modules
85849 verbose linkBins editorconfig@0.13.3
85850 verbose link bins [ { editorconfig: 'bin/editorconfig' },
85850 verbose link bins   'F:\\website\\leapfrog\\node_modules\\.bin',
85850 verbose link bins   false ]
85851 verbose linkMans editorconfig@0.13.3
85852 silly build js-beautify@1.7.4
85853 info linkStuff js-beautify@1.7.4
85854 silly linkStuff js-beautify@1.7.4 has F:\website\leapfrog\node_modules as its parent node_modules
85855 verbose linkBins js-beautify@1.7.4
85856 verbose link bins [ { 'css-beautify': './js/bin/css-beautify.js',
85856 verbose link bins     'html-beautify': './js/bin/html-beautify.js',
85856 verbose link bins     'js-beautify': './js/bin/js-beautify.js' },
85856 verbose link bins   'F:\\website\\leapfrog\\node_modules\\.bin',
85856 verbose link bins   false ]
85857 verbose linkMans js-beautify@1.7.4
85858 silly build signal-exit@3.0.2
85859 info linkStuff signal-exit@3.0.2
85860 silly linkStuff signal-exit@3.0.2 has F:\website\leapfrog\node_modules as its parent node_modules
85861 verbose linkBins signal-exit@3.0.2
85862 verbose linkMans signal-exit@3.0.2
85863 silly build loud-rejection@1.6.0
85864 info linkStuff loud-rejection@1.6.0
85865 silly linkStuff loud-rejection@1.6.0 has F:\website\leapfrog\node_modules as its parent node_modules
85866 verbose linkBins loud-rejection@1.6.0
85867 verbose linkMans loud-rejection@1.6.0
85868 silly build slash@1.0.0
85869 info linkStuff slash@1.0.0
85870 silly linkStuff slash@1.0.0 has F:\website\leapfrog\node_modules as its parent node_modules
85871 verbose linkBins slash@1.0.0
85872 verbose linkMans slash@1.0.0
85873 silly build sntp@1.0.9
85874 info linkStuff sntp@1.0.9
85875 silly linkStuff sntp@1.0.9 has F:\website\leapfrog\node_modules as its parent node_modules
85876 verbose linkBins sntp@1.0.9
85877 verbose linkMans sntp@1.0.9
85878 silly build hawk@3.1.3
85879 info linkStuff hawk@3.1.3
85880 silly linkStuff hawk@3.1.3 has F:\website\leapfrog\node_modules as its parent node_modules
85881 verbose linkBins hawk@3.1.3
85882 verbose linkMans hawk@3.1.3
85883 silly build uuid@2.0.3
85884 info linkStuff uuid@2.0.3
85885 silly linkStuff uuid@2.0.3 has F:\website\leapfrog\node_modules\sockjs\node_modules as its parent node_modules
85886 verbose linkBins uuid@2.0.3
85887 verbose linkMans uuid@2.0.3
85888 silly build sort-keys@1.1.2
85889 info linkStuff sort-keys@1.1.2
85890 silly linkStuff sort-keys@1.1.2 has F:\website\leapfrog\node_modules as its parent node_modules
85891 verbose linkBins sort-keys@1.1.2
85892 verbose linkMans sort-keys@1.1.2
85893 silly build source-list-map@0.1.8
85894 info linkStuff source-list-map@0.1.8
85895 silly linkStuff source-list-map@0.1.8 has F:\website\leapfrog\node_modules as its parent node_modules
85896 verbose linkBins source-list-map@0.1.8
85897 verbose linkMans source-list-map@0.1.8
85898 silly build source-map@0.5.7
85899 info linkStuff source-map@0.5.7
85900 silly linkStuff source-map@0.5.7 has F:\website\leapfrog\node_modules as its parent node_modules
85901 verbose linkBins source-map@0.5.7
85902 verbose linkMans source-map@0.5.7
85903 silly build source-map-support@0.4.18
85904 info linkStuff source-map-support@0.4.18
85905 silly linkStuff source-map-support@0.4.18 has F:\website\leapfrog\node_modules as its parent node_modules
85906 verbose linkBins source-map-support@0.4.18
85907 verbose linkMans source-map-support@0.4.18
85908 silly build source-map-url@0.3.0
85909 info linkStuff source-map-url@0.3.0
85910 silly linkStuff source-map-url@0.3.0 has F:\website\leapfrog\node_modules as its parent node_modules
85911 verbose linkBins source-map-url@0.3.0
85912 verbose linkMans source-map-url@0.3.0
85913 silly build spdx-expression-parse@1.0.4
85914 info linkStuff spdx-expression-parse@1.0.4
85915 silly linkStuff spdx-expression-parse@1.0.4 has F:\website\leapfrog\node_modules as its parent node_modules
85916 verbose linkBins spdx-expression-parse@1.0.4
85917 verbose linkMans spdx-expression-parse@1.0.4
85918 silly build spdx-license-ids@1.2.2
85919 info linkStuff spdx-license-ids@1.2.2
85920 silly linkStuff spdx-license-ids@1.2.2 has F:\website\leapfrog\node_modules as its parent node_modules
85921 verbose linkBins spdx-license-ids@1.2.2
85922 verbose linkMans spdx-license-ids@1.2.2
85923 silly build spdx-correct@1.0.2
85924 info linkStuff spdx-correct@1.0.2
85925 silly linkStuff spdx-correct@1.0.2 has F:\website\leapfrog\node_modules as its parent node_modules
85926 verbose linkBins spdx-correct@1.0.2
85927 verbose linkMans spdx-correct@1.0.2
85928 silly build sprintf-js@1.0.3
85929 info linkStuff sprintf-js@1.0.3
85930 silly linkStuff sprintf-js@1.0.3 has F:\website\leapfrog\node_modules as its parent node_modules
85931 verbose linkBins sprintf-js@1.0.3
85932 verbose linkMans sprintf-js@1.0.3
85933 silly build argparse@1.0.9
85934 info linkStuff argparse@1.0.9
85935 silly linkStuff argparse@1.0.9 has F:\website\leapfrog\node_modules as its parent node_modules
85936 verbose linkBins argparse@1.0.9
85937 verbose linkMans argparse@1.0.9
85938 silly build js-yaml@3.7.0
85939 info linkStuff js-yaml@3.7.0
85940 silly linkStuff js-yaml@3.7.0 has F:\website\leapfrog\node_modules as its parent node_modules
85941 verbose linkBins js-yaml@3.7.0
85942 verbose link bins [ { 'js-yaml': 'bin/js-yaml.js' },
85942 verbose link bins   'F:\\website\\leapfrog\\node_modules\\.bin',
85942 verbose link bins   false ]
85943 verbose linkMans js-yaml@3.7.0
85944 silly build cosmiconfig@2.2.2
85945 info linkStuff cosmiconfig@2.2.2
85946 silly linkStuff cosmiconfig@2.2.2 has F:\website\leapfrog\node_modules as its parent node_modules
85947 verbose linkBins cosmiconfig@2.2.2
85948 verbose linkMans cosmiconfig@2.2.2
85949 silly build postcss-load-options@1.2.0
85950 info linkStuff postcss-load-options@1.2.0
85951 silly linkStuff postcss-load-options@1.2.0 has F:\website\leapfrog\node_modules as its parent node_modules
85952 verbose linkBins postcss-load-options@1.2.0
85953 verbose linkMans postcss-load-options@1.2.0
85954 silly build postcss-load-plugins@2.3.0
85955 info linkStuff postcss-load-plugins@2.3.0
85956 silly linkStuff postcss-load-plugins@2.3.0 has F:\website\leapfrog\node_modules as its parent node_modules
85957 verbose linkBins postcss-load-plugins@2.3.0
85958 verbose linkMans postcss-load-plugins@2.3.0
85959 silly build postcss-load-config@1.2.0
85960 info linkStuff postcss-load-config@1.2.0
85961 silly linkStuff postcss-load-config@1.2.0 has F:\website\leapfrog\node_modules as its parent node_modules
85962 verbose linkBins postcss-load-config@1.2.0
85963 verbose linkMans postcss-load-config@1.2.0
85964 silly build assert-plus@1.0.0
85965 info linkStuff assert-plus@1.0.0
85966 silly linkStuff assert-plus@1.0.0 has F:\website\leapfrog\node_modules\sshpk\node_modules as its parent node_modules
85967 verbose linkBins assert-plus@1.0.0
85968 verbose linkMans assert-plus@1.0.0
85969 silly build stackframe@1.0.4
85970 info linkStuff stackframe@1.0.4
85971 silly linkStuff stackframe@1.0.4 has F:\website\leapfrog\node_modules as its parent node_modules
85972 verbose linkBins stackframe@1.0.4
85973 verbose linkMans stackframe@1.0.4
85974 silly build error-stack-parser@2.0.1
85975 info linkStuff error-stack-parser@2.0.1
85976 silly linkStuff error-stack-parser@2.0.1 has F:\website\leapfrog\node_modules as its parent node_modules
85977 verbose linkBins error-stack-parser@2.0.1
85978 verbose linkMans error-stack-parser@2.0.1
85979 silly build statuses@1.3.1
85980 info linkStuff statuses@1.3.1
85981 silly linkStuff statuses@1.3.1 has F:\website\leapfrog\node_modules as its parent node_modules
85982 verbose linkBins statuses@1.3.1
85983 verbose linkMans statuses@1.3.1
85984 silly build http-errors@1.6.2
85985 info linkStuff http-errors@1.6.2
85986 silly linkStuff http-errors@1.6.2 has F:\website\leapfrog\node_modules as its parent node_modules
85987 verbose linkBins http-errors@1.6.2
85988 verbose linkMans http-errors@1.6.2
85989 silly build serve-index@1.9.1
85990 info linkStuff serve-index@1.9.1
85991 silly linkStuff serve-index@1.9.1 has F:\website\leapfrog\node_modules as its parent node_modules
85992 verbose linkBins serve-index@1.9.1
85993 verbose linkMans serve-index@1.9.1
85994 silly build send@0.16.1
85995 info linkStuff send@0.16.1
85996 silly linkStuff send@0.16.1 has F:\website\leapfrog\node_modules as its parent node_modules
85997 verbose linkBins send@0.16.1
85998 verbose linkMans send@0.16.1
85999 silly build serve-static@1.13.1
86000 info linkStuff serve-static@1.13.1
86001 silly linkStuff serve-static@1.13.1 has F:\website\leapfrog\node_modules as its parent node_modules
86002 verbose linkBins serve-static@1.13.1
86003 verbose linkMans serve-static@1.13.1
86004 silly build strict-uri-encode@1.1.0
86005 info linkStuff strict-uri-encode@1.1.0
86006 silly linkStuff strict-uri-encode@1.1.0 has F:\website\leapfrog\node_modules as its parent node_modules
86007 verbose linkBins strict-uri-encode@1.1.0
86008 verbose linkMans strict-uri-encode@1.1.0
86009 silly build query-string@4.3.4
86010 info linkStuff query-string@4.3.4
86011 silly linkStuff query-string@4.3.4 has F:\website\leapfrog\node_modules as its parent node_modules
86012 verbose linkBins query-string@4.3.4
86013 verbose linkMans query-string@4.3.4
86014 silly build normalize-url@1.9.1
86015 info linkStuff normalize-url@1.9.1
86016 silly linkStuff normalize-url@1.9.1 has F:\website\leapfrog\node_modules as its parent node_modules
86017 verbose linkBins normalize-url@1.9.1
86018 verbose linkMans normalize-url@1.9.1
86019 silly build string_decoder@1.0.3
86020 info linkStuff string_decoder@1.0.3
86021 silly linkStuff string_decoder@1.0.3 has F:\website\leapfrog\node_modules as its parent node_modules
86022 verbose linkBins string_decoder@1.0.3
86023 verbose linkMans string_decoder@1.0.3
86024 silly build stringstream@0.0.5
86025 info linkStuff stringstream@0.0.5
86026 silly linkStuff stringstream@0.0.5 has F:\website\leapfrog\node_modules as its parent node_modules
86027 verbose linkBins stringstream@0.0.5
86028 verbose linkMans stringstream@0.0.5
86029 silly build strip-ansi@3.0.1
86030 info linkStuff strip-ansi@3.0.1
86031 silly linkStuff strip-ansi@3.0.1 has F:\website\leapfrog\node_modules as its parent node_modules
86032 verbose linkBins strip-ansi@3.0.1
86033 verbose linkMans strip-ansi@3.0.1
86034 silly build string-length@1.0.1
86035 info linkStuff string-length@1.0.1
86036 silly linkStuff string-length@1.0.1 has F:\website\leapfrog\node_modules as its parent node_modules
86037 verbose linkBins string-length@1.0.1
86038 verbose linkMans string-length@1.0.1
86039 silly build string-width@1.0.2
86040 info linkStuff string-width@1.0.2
86041 silly linkStuff string-width@1.0.2 has F:\website\leapfrog\node_modules as its parent node_modules
86042 verbose linkBins string-width@1.0.2
86043 verbose linkMans string-width@1.0.2
86044 silly build strip-bom@2.0.0
86045 info linkStuff strip-bom@2.0.0
86046 silly linkStuff strip-bom@2.0.0 has F:\website\leapfrog\node_modules as its parent node_modules
86047 verbose linkBins strip-bom@2.0.0
86048 verbose linkMans strip-bom@2.0.0
86049 silly build load-json-file@1.1.0
86050 info linkStuff load-json-file@1.1.0
86051 silly linkStuff load-json-file@1.1.0 has F:\website\leapfrog\node_modules as its parent node_modules
86052 verbose linkBins load-json-file@1.1.0
86053 verbose linkMans load-json-file@1.1.0
86054 silly build strip-indent@1.0.1
86055 info linkStuff strip-indent@1.0.1
86056 silly linkStuff strip-indent@1.0.1 has F:\website\leapfrog\node_modules as its parent node_modules
86057 verbose linkBins strip-indent@1.0.1
86058 verbose link bins [ { 'strip-indent': 'cli.js' },
86058 verbose link bins   'F:\\website\\leapfrog\\node_modules\\.bin',
86058 verbose link bins   false ]
86059 verbose linkMans strip-indent@1.0.1
86060 silly build redent@1.0.0
86061 info linkStuff redent@1.0.0
86062 silly linkStuff redent@1.0.0 has F:\website\leapfrog\node_modules as its parent node_modules
86063 verbose linkBins redent@1.0.0
86064 verbose linkMans redent@1.0.0
86065 silly build loader-utils@1.1.0
86066 info linkStuff loader-utils@1.1.0
86067 silly linkStuff loader-utils@1.1.0 has F:\website\leapfrog\node_modules\style-loader\node_modules as its parent node_modules
86068 verbose linkBins loader-utils@1.1.0
86069 verbose linkMans loader-utils@1.1.0
86070 silly build style-loader@0.13.2
